id,year,platform,publisher,genre,na_sales,eu_sales,jp_sales,ot_sales,gb_sales
263,2011,6,6,9,1.41,2.02,0.1,0.72,4.24
264,2001,9,26,6,3,1.11,0.05,0.07,4.24
265,2004,7,15,9,1.46,0,0.83,1.93,4.23
266,2006,17,4,2,2.45,1.02,0,0.75,4.22
267,1995,15,5,12,1.7,2.27,0,0.23,4.21
268,2011,10,1,9,2.03,1.27,0.62,0.3,4.21
269,2005,7,8,1,0.78,2.55,0.04,0.84,4.21
270,2003,7,4,6,0.88,2.3,0.2,0.83,4.2
271,2016,11,4,7,1.3,2.07,0.18,0.65,4.2
272,2007,6,4,3,1.28,1.83,0.57,0.53,4.2
273,2011,5,6,9,2.25,1.47,0.04,0.43,4.19
274,2009,6,13,10,2.02,1.06,0.58,0.53,4.19
275,2011,5,8,1,0.84,2.79,0.02,0.53,4.19
276,1989,2,27,9,3.38,0.44,0.31,0.04,4.17
277,1984,2,1,3,2.04,0.48,1.57,0.07,4.16
278,1997,13,28,9,3.79,0.27,0,0.11,4.16
279,2002,7,8,1,3.36,0.21,0.01,0.56,4.14
280,2014,11,6,9,1.4,1.86,0.11,0.77,4.14
281,1997,15,24,7,4.03,0,0.09,0,4.12
282,1995,8,1,2,1.65,0.61,1.76,0.09,4.12
283,2006,7,8,1,0.71,2.48,0.03,0.89,4.11
284,2011,1,1,9,2.14,1.2,0.37,0.4,4.1
285,1992,8,13,10,1.42,0.51,2.1,0.07,4.1
286,2007,1,3,6,2.13,1.5,0.05,0.42,4.1
287,2015,18,7,4,2.45,1.26,0.01,0.37,4.09
288,2007,15,5,4,2.57,1.52,0,0,4.09
289,2010,5,7,4,2.65,1.06,0.04,0.33,4.08
290,2007,7,4,9,2.32,0.04,0.04,1.67,4.07
291,2007,5,2,3,2.35,1.28,0.03,0.41,4.06
292,2005,7,15,1,0.12,2.26,0.9,0.77,4.06
293,1996,13,4,6,2.28,1.55,0.16,0.06,4.05
294,2000,7,26,10,1.68,1.51,0.51,0.35,4.05
295,2014,11,6,7,1.12,2.12,0.1,0.69,4.03
296,1997,12,1,7,2.78,0.58,0.64,0.04,4.03
297,2014,11,16,6,1.38,1.87,0.12,0.65,4.02
298,1984,2,1,1,1.22,0.28,2.46,0.04,4.01
299,2008,6,7,4,2.15,1.2,0.07,0.59,4.01
300,2007,4,1,5,0.92,1.78,0.92,0.37,4
301,2009,5,8,7,2.67,0.89,0.05,0.37,3.99
302,2005,7,26,6,2.08,1.35,0,0.54,3.98
303,2009,1,8,1,2.1,1.36,0.06,0.4,3.92
304,2014,11,6,9,1.18,1.96,0.08,0.7,3.92
305,1994,3,1,2,1.97,0.76,1.07,0.11,3.91
306,2003,7,5,1,2.29,1.17,0.01,0.42,3.9
307,2013,6,6,9,1.33,1.71,0.13,0.73,3.89
308,2014,10,1,4,0.67,0.49,2.62,0.11,3.89
309,2006,6,4,3,1.53,1.61,0.06,0.67,3.88
310,2011,15,7,4,1.15,2.09,0,0.64,3.88
311,2005,7,26,10,0.93,1.94,0.31,0.7,3.87
312,1988,2,25,4,0.1,0,3.77,0,3.87
313,2010,6,4,1,2.12,1.14,0.1,0.51,3.87
314,2015,11,3,1,2.48,0.65,0.03,0.69,3.85
315,2004,7,15,1,0.16,1.89,1.12,0.68,3.85
316,2007,4,1,6,0.87,1.57,1.05,0.35,3.84
317,1995,13,4,6,2.12,1.44,0.22,0.06,3.84
318,1992,3,1,9,2.21,0.96,0.54,0.13,3.83
319,2009,4,1,4,2.26,0.48,0.81,0.27,3.83
320,2007,1,1,6,1.06,1.93,0.41,0.43,3.82
321,2011,10,1,8,1.44,1.37,0.73,0.27,3.81
322,2015,11,20,9,1.49,1.58,0.1,0.61,3.79
323,2011,1,9,1,1.14,1.91,0.27,0.46,3.78
324,2008,5,5,9,2.4,1.03,0,0.36,3.78
325,1996,13,19,9,1.82,1.24,0.47,0.25,3.77
326,2007,17,4,2,1.4,1.4,0.1,0.87,3.77
327,2013,1,6,6,1.98,1.47,0,0.32,3.76
328,2002,15,8,8,2.03,1.56,0,0.17,3.76
329,2007,1,1,2,1.98,0.88,0.59,0.32,3.76
330,2001,13,8,9,1.37,2,0.14,0.22,3.73
331,2015,11,26,4,0.96,2,0.21,0.56,3.73
332,1999,13,22,9,1.3,0.77,1.54,0.11,3.72
333,2000,13,4,2,1.93,1.58,0,0.19,3.71
334,2004,7,8,1,0.58,2.48,0.04,0.59,3.7
335,1998,3,1,12,1.49,0.73,1.38,0.1,3.7
336,2013,6,8,7,1.3,1.51,0.27,0.61,3.69
337,2007,4,8,8,1.59,1.61,0.08,0.41,3.69
338,2009,4,1,6,0,0,3.67,0,3.67
339,2002,7,5,1,2.13,1.18,0.01,0.35,3.67
340,2005,17,3,3,1.65,1.22,0,0.79,3.66
341,1998,12,1,2,1.87,1.13,0.55,0.1,3.65
342,2002,7,4,7,2.53,0.81,0.06,0.24,3.65
343,2008,1,5,6,2.33,0.97,0,0.35,3.65
344,2013,6,4,3,0.71,1.8,0.4,0.74,3.64
345,2001,7,4,2,2.08,1.09,0.15,0.33,3.64
346,1999,12,1,8,2.23,0.68,0.66,0.06,3.63
347,2009,6,8,1,0.6,2.46,0.05,0.52,3.63
348,2007,7,15,1,0.05,0,0.64,2.93,3.63
349,2013,11,5,7,1.78,1.42,0.05,0.38,3.63
350,2005,7,13,9,2.08,0.83,0.46,0.25,3.62
351,2016,11,6,7,1.28,1.61,0.15,0.57,3.61
352,2004,7,18,7,1.93,1.22,0.03,0.44,3.61
353,1994,15,19,7,2.05,1.4,0,0.16,3.61
354,2001,7,8,3,2.02,1.17,0,0.42,3.61
355,2007,4,12,8,1.61,1.5,0.1,0.39,3.61
356,2001,19,1,9,2.38,0.67,0.46,0.1,3.6
357,2005,7,18,7,2.18,1.02,0.03,0.37,3.59
358,2000,13,29,10,2.01,1.35,0.06,0.16,3.58
359,1997,13,30,2,1.57,1.79,0,0.2,3.56
360,2006,7,3,9,1.56,1.4,0.07,0.5,3.54
361,2002,7,4,9,1.23,1.77,0.05,0.49,3.54
362,1997,13,22,9,1.66,1.58,0.12,0.18,3.54
363,2001,7,8,7,1.9,1.13,0.1,0.41,3.53
364,2005,7,22,9,1.98,1.14,0.01,0.41,3.53
365,2013,5,8,7,2.14,1.08,0.02,0.29,3.53
366,2010,5,8,1,0.71,2.4,0.02,0.4,3.53
367,2000,13,29,9,1.96,1.33,0,0.23,3.52
368,1999,13,4,2,2.14,1.21,0.01,0.17,3.52
369,2008,5,8,7,2.66,0.5,0.05,0.3,3.52
370,2009,4,9,1,1.22,1.66,0.27,0.38,3.52
371,2009,5,13,9,2.11,0.94,0.12,0.34,3.51
372,1996,8,1,2,1.17,0.5,1.75,0.08,3.51
373,2010,5,6,9,2.84,0.39,0.03,0.24,3.5
374,1985,2,1,9,1.64,0.38,1.42,0.06,3.5
375,2009,5,22,9,2.2,0.97,0.02,0.31,3.5
376,2006,4,1,6,0.59,1.83,0.73,0.35,3.5
377,2015,18,8,7,1.94,1.22,0.02,0.31,3.49
378,2010,5,8,7,2.09,1.02,0.04,0.32,3.48
379,2008,4,5,6,2.11,1.01,0.01,0.35,3.48
380,2014,18,6,9,2.26,0.89,0,0.3,3.46
381,2012,6,6,7,0.88,1.75,0.1,0.72,3.45
382,2013,10,13,4,0,0,3.44,0,3.44
383,2009,5,3,7,2.39,0.73,0.03,0.29,3.44
384,2002,7,26,10,1.55,1.27,0.33,0.29,3.44
385,2013,11,8,7,1.34,1.54,0.17,0.38,3.43
386,2011,6,4,2,1.82,1.07,0.06,0.47,3.42
387,1998,13,3,9,1.13,2.07,0,0.22,3.42
388,1994,8,10,4,0.86,0,2.55,0.02,3.42
389,2004,7,5,9,1.75,1.2,0.02,0.43,3.41
390,1990,3,1,3,1.73,0.69,0.59,0.4,3.41
391,2002,7,8,1,0.46,2.28,0.05,0.61,3.4
392,2000,13,4,6,1.56,1.47,0.19,0.17,3.39
393,2008,5,20,9,2.03,1.03,0,0.32,3.38
394,2015,11,15,9,1.08,1.35,0.48,0.47,3.38
395,2009,4,1,9,1.43,0.94,0.74,0.27,3.38
396,1998,13,31,10,2.47,0.76,0,0.13,3.36
397,2000,12,1,9,1.9,0.67,0.73,0.06,3.36
398,2008,4,1,5,0.65,1.61,0.82,0.28,3.36
399,1998,13,29,11,1.63,1.53,0,0.18,3.34
400,2013,5,6,9,1.9,1.14,0.01,0.29,3.34
401,2006,4,1,6,0,0.99,2.32,0.02,3.33
402,2002,7,8,7,1.45,1.29,0.12,0.46,3.33
403,2002,7,4,2,1.44,1.01,0.57,0.3,3.33
404,2012,1,1,6,1.15,1.17,0.76,0.24,3.32
405,2005,7,18,9,1.47,1.39,0.03,0.43,3.32
406,2001,7,3,7,1.99,1.05,0.05,0.22,3.31
407,2003,7,8,9,1.5,1.28,0.05,0.46,3.28
408,2015,11,6,9,0.8,1.92,0.06,0.5,3.28
409,2014,18,5,7,2.13,0.92,0,0.23,3.28
410,2003,7,5,9,1.89,1.05,0.02,0.31,3.27
411,2008,1,1,6,1.36,1.13,0.46,0.32,3.27
412,2009,17,4,3,0.5,1.59,0.31,0.87,3.27
413,2015,10,13,9,0.25,0.19,2.78,0.04,3.26
414,1995,13,4,10,0.95,1.3,0.77,0.22,3.24
415,2015,18,8,1,0.88,2.11,0,0.23,3.23
416,2011,6,3,11,1.27,1.33,0.12,0.51,3.23
417,2015,11,8,1,2.33,0.3,0,0.59,3.22
418,2014,10,1,4,0.03,0,3.18,0,3.22
419,1999,13,8,7,1.72,1.33,0,0.16,3.21
420,1983,2,1,1,0.73,0.1,2.35,0.02,3.2
421,1995,8,1,10,2.26,0.72,0.12,0.1,3.2
422,2000,13,29,10,1.76,1.21,0.07,0.16,3.2
423,2007,17,17,4,1.35,0.6,0.8,0.44,3.19
424,2008,17,4,9,1.48,1.01,0.04,0.66,3.19
425,1995,8,25,4,0,0,3.19,0,3.19
426,2010,5,32,6,2.15,0.77,0.01,0.26,3.19
427,2003,7,11,9,1.78,1.12,0.09,0.19,3.18
428,2015,20,1,2,1.18,0.87,0.93,0.2,3.18
429,2010,6,7,4,1.52,1.08,0.1,0.47,3.17
430,2008,4,1,6,0.58,0.51,1.93,0.14,3.17
431,2001,7,16,8,2.06,0.56,0.38,0.17,3.17
432,2008,4,32,11,1.88,0.98,0,0.3,3.16
433,2001,19,1,8,1.92,0.16,0.99,0.09,3.15
434,2008,4,20,9,1.79,1.06,0,0.29,3.15
435,2005,4,9,2,1.22,1.57,0.06,0.29,3.15
436,2012,6,13,7,0.88,0.97,0.88,0.42,3.15
437,2014,18,2,7,1.89,0.99,0.03,0.24,3.15
438,2007,7,8,1,0.68,0,0,2.46,3.14
439,2000,13,5,9,1.7,1.25,0.02,0.16,3.13
440,1998,13,8,3,2.14,0.86,0,0.13,3.12
441,1999,12,1,3,2.31,0.62,0.14,0.04,3.12
442,2006,4,1,6,0.91,1,1.03,0.17,3.12
443,2007,6,6,4,1.69,0.87,0.14,0.42,3.12
444,1990,2,25,4,0.08,0,3.03,0.01,3.12
445,2010,6,4,11,1.29,1.27,0.06,0.5,3.12
446,2010,5,8,4,1.99,0.82,0.03,0.27,3.11
447,2014,5,8,1,0.78,2.02,0,0.3,3.11
448,2002,7,11,10,2.17,0.28,0.55,0.08,3.09
449,2001,7,8,1,2.5,0.16,0.01,0.42,3.08
450,1986,2,26,1,1.92,0.45,0.64,0.07,3.08
451,2012,5,3,7,1.89,0.91,0.04,0.24,3.07
452,2013,10,1,9,1.4,0.99,0.46,0.22,3.07
453,1994,3,1,2,1.57,0.62,0.55,0.34,3.07
454,2002,15,8,8,1.72,1.21,0,0.14,3.07
455,2012,5,8,4,1.94,0.86,0.03,0.24,3.07
